Exercise ID,Category,Exercise Name,Matched YouTube Video,Video URL,Confidence,Match Notes
196,Arm Care,90/90 Band Walkouts,90/90 Band Walkouts,https://www.youtube.com/watch?v=5T0GprRyv-g,High,Exact name match.
199,Arm Care,90/90 Reverse Chop,90/90 Reverse Chop,https://www.youtube.com/watch?v=_ZiYwKkjXkE,High,Exact name match.
204,Arm Care,90/90 Scap Liftoffs,90/90 Scap Liftoffs,https://www.youtube.com/watch?v=IKwhed41CSg,High,Exact name match.
198,Arm Care,90/90 Scap Wall Slides,90/90 Scap Wall Slides,https://www.youtube.com/watch?v=qpV8uTDaxtA,High,Exact name match.
140,Arm Care,90/90 Shoulder ER ISO Hold,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
425,Arm Care,Banded Horizontal Abduction Eccentrics,Banded Horizontal Abduction Eccentrics,https://www.youtube.com/watch?v=0n0pjXqj8LI,High,Exact name match.
149,Arm Care,Barbell Rollup with KB,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
205,Arm Care,Cuban Press,Cuban Press,https://www.youtube.com/watch?v=9pl6fqhoptU,High,Exact name match.
195,Arm Care,Diagonal Pull Aparts,Diagonal Pull Aparts,https://www.youtube.com/watch?v=gJyRqDLuHJU,High,Exact name match.
150,Arm Care,Flossing,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
148,Arm Care,Forearm Wrist Curls (Flexion and Extension),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
417,Arm Care,J-Band 90/90 Row to ER,J-Band 90/90 Row to ER,https://www.youtube.com/watch?v=ENcyhdLBD48,High,Exact name match.
426,Arm Care,J-Band Diagonal ISO Hold,J-Band Diagonal ISO Hold,https://www.youtube.com/watch?v=FfQF71iH9E8,High,Exact name match.
420,Arm Care,J-Band SS 90/90 to Y,J-Band SS 90/90 to Y,https://www.youtube.com/watch?v=879-EfrGhVU,High,Exact name match.
419,Arm Care,J-Band T-Walkout Eccentrics,J-Band T Walkouts Eccentric,https://www.youtube.com/watch?v=VuZMq0d2ZM0,High,Singular/plural wording difference only.
422,Arm Care,KB or DB Farmers Carry,Farmers Carry,https://www.youtube.com/watch?v=vSOqawlgwqk,Medium,Same movement; exercise name specifies KB or DB.
7996,Arm Care,PVC Rotaions,PVC Pipe Wide Stance Rotations,https://www.youtube.com/watch?v=0oQR8jQ46w4,Medium,Likely PVC rotation variation; library name is broader and misspelled.
7995,Arm Care,Plyo Ball Forearm Flexion,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7997,Arm Care,Plyo Shakes,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
421,Arm Care,Posterior Band Pull Apart,Posterior Band Pull Aparts,https://www.youtube.com/watch?v=dKFmQ5G7YQ8,High,Singular/plural wording difference only.
203,Arm Care,Prone 90/90 to Y,Prone 90/90 to Y,https://www.youtube.com/watch?v=7N38wyYcPVc,High,Exact name match.
206,Arm Care,Reach Roll and Lift,Reach Roll and Lift,https://www.youtube.com/watch?v=uaeOFSlgLsE,High,Exact name match.
418,Arm Care,Rebounders,Rebounders,https://www.youtube.com/watch?v=xbjZIUDH6uw,High,Exact name match.
428,Arm Care,Reverse Angels on SB,Reverse Angels,https://www.youtube.com/watch?v=yRBE4_e-ETg,Medium,Same movement name; exercise specifies stability ball.
