PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,CustomTags,CustomLabel,TagSet
1,2026-06-23,10:05:17.16,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,78.85175,-2.565531815,-0.8974924871,2047.380409,205.0244212,12:45,6.63202,0.90361,5.84451,-28.89328,15.93846,7.44895,1.83855,0.69036,72.58103,-7.946623092,0.502510198,0.4819080822,-4.2556,9.28308,-0.83507,50,6.4065,1.58022,-114.67202,-5.97723,-5.67394,20.94431,-19.79705,fc0975b7-15ce-441d-a379-e825242136f7,130fa25c-1aff-41a6-9886-521dbdb7c698,78.215,Pitching,23360159,,,,,,,,,,,,,,,,,,,,32.78050483,1721.336868,0.8407508737,,030f2681-c88f-4b01-bcbd-66e0e0b1340e,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
2,2026-06-23,10:05:31.06,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,81.51108,-2.137248175,-1.094321328,2140.13587,206.410418,1:00,6.56993,0.85769,5.75946,-28.01374,13.95985,6.94426,2.24512,0.41782,75.11551,-7.348599772,0.2070974641,0.4662936467,-4.01583,8.05652,-0.77138,50,6.376,2.05303,-118.57498,-5.28106,-5.74004,21.83349,-20.65843,1dfd69b5-559b-4823-916f-d42d3a48c733,130fa25c-1aff-41a6-9886-521dbdb7c698,80.83413,Pitching,23360159,,,,,,,,,,,,,,,,,,,,26.63034163,1913.103827,0.8939169956,,48300697-0568-43b4-8ef5-1e5d7e5713ee,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
3,2026-06-23,10:05:45.78,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,81.07395,-1.239881445,-0.075533241,2138.30055,204.3400421,12:45,6.67456,0.82789,5.51193,-25.60872,17.29432,7.8375,3.38107,1.41039,74.32953,-6.002183179,1.38891932,0.4714280556,-4.19003,9.54158,-0.82653,50,6.5496,-0.09204,-117.94293,-3.36147,-5.90688,22.25863,-18.72286,9f19af46-22d8-454e-aebf-2c058d7fbb57,130fa25c-1aff-41a6-9886-521dbdb7c698,79.95375,Pitching,23360159,,,,,,,,,,,,,,,,,,,,24.35268889,1948.044114,0.9110244649,,c9e998ee-1ebb-43e3-97cb-f97eeef3d78b,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
4,2026-06-23,10:06:01.65,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,79.7216,-2.228088528,-0.5837966627,2135.892392,206.0078391,12:45,6.64473,0.85523,5.79073,-26.75907,17.0571,8.33254,2.34129,1.00659,73.46817,-7.208027282,0.978656476,0.4764184544,-4.62899,9.75123,-0.81226,50,6.44548,0.93439,-115.98617,-5.3076,-6.33124,20.87319,-18.83693,5a9143a8-4e7c-4d10-a41a-6897c2fa68a5,130fa25c-1aff-41a6-9886-521dbdb7c698,79.11624,Pitching,23360159,,,,,,,,,,,,,,,,,,,,2.170035966,2134.360649,0.9992828555,,8a21230e-393f-46cb-842c-7bb8eef04f43,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
5,2026-06-23,10:06:15.91,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,81.96378,-3.120107119,-1.394354139,2112.941406,210.4054788,1:00,6.56708,0.76773,5.68334,-26.03848,15.72134,9.22797,1.48559,0.23695,75.4678,-7.949487996,0.3337306557,0.4651047192,-5.31407,9.25572,-0.65629,50,6.28825,2.61264,-119.10075,-7.30216,-7.65292,22.31581,-18.84467,ae23cc0d-4565-4014-b26d-67d0d11ff0f1,130fa25c-1aff-41a6-9886-521dbdb7c698,81.04076,Pitching,23360159,,,,,,,,,,,,,,,,,,,,18.72288124,2001.12912,0.9470821645,,424d905d-1533-4304-8bde-f88d1d32bdf5,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
6,2026-06-23,10:06:31.29,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,83.51341,-2.500776619,-0.9909594366,2208.778939,192.3793114,12:30,6.53936,0.77606,5.89679,-21.43063,18.30809,4.02174,2.43029,0.19125,76.92326,-6.498531186,-0.2359271771,0.4537099847,-2.42689,10.52048,-0.69878,50,6.32599,1.97868,-121.49795,-5.96205,-3.64718,22.60569,-16.36365,1b09a779-8b2c-4d80-9bf5-40263370e9fe,130fa25c-1aff-41a6-9886-521dbdb7c698,83.07606,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,8e326e66-3358-4922-b3d1-b7e793416968,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
7,2026-06-23,10:06:50.67,"Clark, Hunter",1000571266,Right,,,,,,ChangeUp,Live,,75.75831,-1.505309656,-2.429739726,1986.489442,238.1472507,2:00,6.47479,1.06929,6.11185,-40.20221,7.49578,12.11366,1.73137,-0.16889,70.51755,-8.992797661,-0.153110721,0.4970744453,-7.17493,4.44041,-0.88957,50,6.33808,4.35499,-110.27016,-3.97575,-8.92401,17.74363,-26.65117,1eb317fa-837d-454d-8dd5-e857f04893a9,130fa25c-1aff-41a6-9886-521dbdb7c698,75.82856,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,f46ccb67-66b4-4a9c-bd06-cdc3b47329fd,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
8,2026-06-23,10:07:05.59,"Clark, Hunter",1000571266,Right,,,,,,ChangeUp,Live,,75.85894,-0.7094237048,-0.9759183704,2151.636275,232.9433259,1:45,6.45551,1.16985,5.5969,-38.36824,10.24166,13.61402,2.59579,1.39325,70.18101,-7.820435548,1.565118218,0.5018035807,-7.50868,5.64226,-1.09516,50,6.36997,1.48234,-110.41536,-2.49064,-9.32653,18.52982,-25.1658,30671ca1-d188-4fe7-9b51-9643e9d8b498,130fa25c-1aff-41a6-9886-521dbdb7c698,75.11393,Pitching,23360159,,,,,,,,,,,,,,,,,,,,-0.04928600898,2151.635479,0.99999963,,44f5e022-8cd4-4390-8ba7-ff60483fc83a,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
9,2026-06-23,10:07:22.90,"Clark, Hunter",1000571266,Right,,,,,,ChangeUp,Live,,76.97898,-2.976937248,0.01387849317,2102.299478,226.1021882,1:30,6.46206,1.07263,5.90232,-35.76896,11.07947,11.53932,0.71575,2.04712,71.38247,-9.603354464,2.181296828,0.4926278397,-6.21661,6.76769,-1.08038,50,6.20247,-0.35133,-111.9529,-6.82699,-7.92013,19.48282,-23.55182,2b6adae9-1104-4164-9894-20df2ccaad52,130fa25c-1aff-41a6-9886-521dbdb7c698,76.51301,Pitching,23360159,,,,,,,,,,,,,,,,,,,,0.976482274,2101.99417,0.9998547745,,98c835d7-3ddd-407a-bf38-a2065d2456b5,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
10,2026-06-23,10:07:39.88,"Clark, Hunter",1000571266,Right,,,,,,Fastball,Live,,82.10773,-1.515706423,0.3132184955,2144.504539,207.0247649,1:00,6.60828,0.69936,5.85497,-25.54151,15.79919,8.07417,3.0714,1.66319,75.25931,-6.2937484,1.83197275,0.4627647717,-4.26212,8.93587,-0.72946,50,6.4705,-0.89649,-119.48345,-3.93128,-6.15719,23.1689,-19.26502,0af8e060-b4c3-413e-bf26-e184416d09d9,130fa25c-1aff-41a6-9886-521dbdb7c698,81.45054,Pitching,23360159,,,,,,,,,,,,,,,,,,,,-0.7676444908,2144.312068,0.9999102492,,3fdfcebd-8d62-4d70-8527-8f2fc7c6abee,639022fb-6164-4e3f-ab44-8f3c85a86e42,,,Pitching Bullpen
