"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CU","2026-03-28","74.7","-1.12","6.86","Mikolas, Miles",694208,571945,"strikeout","swinging_strike",,,,,13,"Moisés Ballesteros strikes out swinging.","R","L","R","CHC","WSH","S",2,,2,2,2026,"0.78","-1.48",-0.04676336745511478,1.3614808131517018,,663538,,2,5,"Bot",,,,,,,0.7890364265505129,-108.76445541087443,-1.0809649221163395,5.901794393641627,22.637084211035326,-43.74664482075641,3.040091864,1.534251969,,,,"73.8",2689,"6",824701,686452,671277,678391,691781,683083,695734,696285,695578,"54.51",,0,"0",1,0,0,,42,6,"Curveball",6,2,6,2,2,6,6,2,"Standard","Standard",31,"-0.008","-0.22","70.1","7.9",,"0.22",,4,4,0.926,0.926,37,22,38,23,3,2,,,,,"5.62","-0.78","0.78",,20.162320552485607,-21.701695114592457,32.532817202427374,42.23573932944066,54.374169464277095
"CH","2026-03-28","84.8","-1.49","6.36","Mikolas, Miles",694208,571945,,"ball",,,,,13,"Ball","R","L","R","CHC","WSH","B",,,1,2,2026,"-0.86","-0.04",-0.4376023907509956,0.7593827320697253,,663538,,2,5,"Bot",,,,,,,4.17481418295789,-123.24567191646896,-6.306037961949141,-9.619581213139176,27.318748914802434,-31.42195246976432,3.040091864,1.534251969,,,,"84.4",1290,"6.4",824701,686452,671277,678391,691781,683083,695734,696285,695578,"54.12",,,,,,,,42,5,"Changeup",6,2,6,2,2,6,6,2,"Standard","Standard",236,"0.001","0.012",,,,"-0.012",,4,4,0.925,0.925,37,22,38,23,3,2,,,,,"3.25","0.86","-0.86",,,,,,
"CH","2026-03-28","86.1","-2.19","5.67","McGreevy, Michael",641584,700241,"field_out","hit_into_play",,,,,4,"Jake Fraley lines out to right fielder Jordan Walker.","R","L","R","STL","TB","X",9,"line_drive",3,2,2026,"-1.25","0.37",-0.5399610769632694,2.365086186721553,,,666018,2,6,"Top",186.77,109.62,,,,,6.503371638754373,-125.01964674472987,-1.9544127576969634,-14.553317629919711,32.49680566168228,-28.110693375250534,3.169980315,1.59980315,306,"90",25,"85.5",1621,"6.7",823082,671056,676475,802139,602104,691026,701675,687363,691023,"53.81",0.14,0.177,"0",1,0,0,3,39,6,"Changeup",2,0,0,2,0,2,0,2,"Standard","Standard",200,"0.035","-0.294","74.4","7.2",0.267,"0.294","90.0",2,-2,0.81,0.18999999999999995,25,31,26,31,3,2,,,,,"2.79","1.25","-1.25",,14.912441803454621,-13.090341172454286,34.03044324051053,40.1636511247782,38.890292934712
"FC","2026-03-28","85.5","-2.11","5.64","McGreevy, Michael",641584,700241,,"foul",,,,,1,"Foul","R","L","R","STL","TB","S",,,3,1,2026,"0.18","0.54",-0.3504942651407761,2.9333949953012204,,,666018,2,6,"Top",,,,,,,3.7386142234456483,-124.44501943351055,-1.0015290870748412,1.093422583124749,25.01395297047743,-26.62530217768116,3.169980315,1.59980315,173,"67.2",52,"85.8",2234,"6.5",823082,671056,676475,802139,602104,691026,701675,687363,691023,"54.02",,,,,,,,39,5,"Cutter",2,0,0,2,0,2,0,2,"Infield shade","Standard",196,"0.007","-0.094","61.8","6.3",,"0.094","88.0",2,-2,0.803,0.19699999999999995,25,31,26,31,3,2,,,,,"2.58","-0.18","0.18",,-2.361363602216118,7.042645423472869,36.488560212808736,37.413025159982496,16.966372021768457
"SI","2026-03-28","92.4","-1.13","6.7","Mikolas, Miles",694208,571945,,"foul",,,,,13,"Foul","R","L","R","CHC","WSH","S",,,1,2,2026,"-1.5","1.12",-0.5796556623561163,1.3908830896567312,,663538,,2,5,"Bot",,,,,,,4.69946708340323,-134.10183761535654,-9.76024307232082,-19.091917301970103,33.33527132864942,-16.55868282844014,3.040091864,1.534251969,4,"64.3",-20,"91.4",2219,"6.2",824701,686452,671277,678391,691781,683083,695734,696285,695578,"54.32",,,,,,,,42,4,"Sinker",6,2,6,2,2,6,6,2,"Standard","Standard",211,"0","0","75.8","8.1",,"0","88.0",4,4,0.925,0.925,37,22,38,23,3,2,,,,,"1.59","1.5","-1.5",,10.813858534591647,-4.3474323040723775,32.55423082452264,46.178584175199376,34.3534538819539
"SL","2026-03-28","84.3","1.52","6.26","Detmers, Reid",670623,672282,"double","hit_into_play",,,,,5,"Isaac Paredes doubles (1) on a fly ball to left fielder Josh Lowe. Jake Meyers scores. Jose Altuve scores.","R","R","L","HOU","LAA","X",7,"fly_ball",0,2,2026,"-0.52","-0.38",-0.18823247241910906,2.5392878021846816,676694,,514888,2,5,"Bot",38.56,100.34,,,,,-2.8618450148607977,-122.62750801184295,-1.167227172315175,-4.512051328776438,28.071808790354588,-35.97061905034859,3.180511811,1.60511811,324,"95.3",43,"83.6",2582,"6.2",824213,681351,694384,672724,660162,687263,666139,545361,666176,"54.27",0.02,0.034,"1.25",1,1,1,3,44,3,"Slider",0,6,0,6,6,2,2,6,"Standard","Standard",310,"0.067","1.034","72.4","7.8",0.063,"-1.034","95.3",-6,-6,0.038,0.038,26,27,27,27,3,2,,,,,"3.63","-0.52","0.52",,19.28885387360853,-17.347715923245204,31.192308643647376,29.727356794776384,37.0882242862107
"CH","2026-03-28","84.1","-1.52","6.45","Mikolas, Miles",694208,571945,,"blocked_ball",,,,,13,"Ball In Dirt","R","L","R","CHC","WSH","B",,,0,2,2026,"-1.1","0.19",-0.10434588951414558,0.6664901833408949,,663538,,2,5,"Bot",,,,,,,5.438464175529135,-122.22174523197447,-7.0388040968975005,-12.086070544634033,26.098386188896793,-28.974926553423348,3.040091864,1.534251969,,,,"83.7",1346,"6.3",824701,686452,671277,678391,691781,683083,695734,696285,695578,"54.23",,,,,,,,42,3,"Changeup",6,2,6,2,2,6,6,2,"Standard","Standard",230,"0.001","0.015",,,,"-0.015",,4,4,0.924,0.924,37,22,38,23,3,2,,,,,"3.06","1.1","-1.1",,,,,,
"FF","2026-03-28","93.5","1.45","6.33","Detmers, Reid",670623,672282,,"foul",,,,,11,"Foul","R","R","L","HOU","LAA","S",,,0,1,2026,"0.51","1.75",-0.8569110200108858,3.2141790509336126,676694,,514888,2,5,"Bot",,,,,,,-6.9707847852403955,-135.8232786842684,-5.9320662577140055,7.875582307331094,32.433292215122144,-9.44765557666905,3.180511811,1.60511811,73,"53.7",75,"92.9",2175,"6.2",824213,681351,694384,672724,660162,687263,666139,545361,666176,"54.29",,,,,,,,44,2,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Infield shade","Strategic",149,"-0.003","-0.056","52.1","6.3",,"0.056","88.0",-6,-6,0.041,0.041,26,27,27,27,3,2,,,,,"0.89","0.51","-0.51",,9.528811462261736,17.36705007990108,35.90845909803023,22.770654753744935,25.677877368219935
"SI","2026-03-28","88.9","-2.07","5.74","McGreevy, Michael",641584,700241,,"called_strike",,,,,11,"Called Strike","R","L","R","STL","TB","S",,,3,0,2026,"-1.18","0.16",-0.9033460194400735,2.7695035194103874,,,666018,2,6,"Top",,,,,,,5.371815049034939,-129.49666743284754,-1.4339672464628737,-14.422687185103017,25.299301542513444,-30.228154184043316,3.169980315,1.59980315,,,,"89.7",2136,"6.6",823082,671056,676475,802139,602104,691026,701675,687363,691023,"53.94",,,,,,,,39,4,"Sinker",2,0,0,2,0,2,0,2,"Infield shade","Standard",216,"0.007","-0.048",,,,"0.048",,2,-2,0.796,0.20399999999999996,25,31,26,31,3,2,,,,,"2.7","1.18","-1.18",,,,,,
"SL","2026-03-28","86.5","-1.09","6.82","Mikolas, Miles",694208,571945,,"swinging_strike",,,,,12,"Swinging Strike","R","L","R","CHC","WSH","S",,,0,1,2026,"0.2","0.94",0.342375584789567,3.3585434667437717,,663538,,2,5,"Bot",,,,,,,2.9600073865100316,-126.01024889768514,-3.7664439016343922,1.4843392236085207,26.230073757409418,-21.585231051829485,3.040091864,1.534251969,,,,"86.3",2136,"6.1",824701,686452,671277,678391,691781,683083,695734,696285,695578,"54.36",,,,,,,,42,2,"Slider",6,2,6,2,2,6,6,2,"Standard","Standard",191,"-0.002","-0.056","68.4","6.1",,"0.056",,4,4,0.926,0.926,37,22,38,23,3,2,,,,,"2.1","-0.2","0.2",,-0.624372416491834,23.789517511381135,26.918037204630778,34.16203308447884,23.71740570743888
