ABI_WIL	Abilene Christian University
ABR_BAL	ABR_BAL
AIR_FOR	United States Air Force Academy
AKR_ZIP	University of Akron
ALA_ANM	ALA_ANM
ALA_CRI	University of Alabama
ALA_HOR	Alabama State University
ALA_LIO	University of North Alabama
ALB_GRE	ALB_GRE
ALB_STA	ALB_STA
ALC_BRA	ALC_BRA
ALL_HAN	ALL_HAN
ALV_CCO	ALV_CCO
AMH_COL	AMH_COL
AND_TRO	AND_TRO
ANG_COL	ANG_COL
APP_MOU	Appalachian State University
ARI_SUN	Arizona State University
ARI_WIL	University of Arizona
ARK_LIO	ARK_LIO
ARK_RAZ	University of Arkansas
ARK_TEC	ARK_TEC
ARL_MAV	The University of Texas at Arlington
ARM_BLA	ARM_BLA
ASB_UNI	ASB_UNI
ASH_UNI	ASH_UNI
ASU_RED	Arkansas State University
AUB_TIG	Auburn University
AUB_UNI	AUB_UNI
AUG_UNI1	AUG_UNI1
AUS_COL	AUS_COL
AUS_GOV	AUS_GOV
AVE_MAR	AVE_MAR
AZU_PAC	AZU_PAC
BAL_CAR	BAL_CAR
BAL_UNI	BAL_UNI
BAR_COL	BAR_COL
BAT_ROU	BAT_ROU
BAY_BEA	Baylor University
BEL_ABB	BEL_ABB
BEL_BRU	Belmont University
BEL_KNI	BEL_KNI
BER_COL	BER_COL
BET_UNI2	BET_UNI2
BET_WIL	BET_WIL
BFS_BBS	BFS_BBS
BGS_FAL	Bowling Green State University
BIN_BEA	BIN_BEA
BIO_UNI	BIO_UNI
BLU_UNI	BLU_UNI
BOC_EAG	Boston College
BRA_BRA	BRA_BRA
BRA_UNI	BRA_UNI
BRE_COL1	BRE_COL1
BRI_EAG	BRI_EAG
BRO_BEA	BRO_BEA
BRY_BUL	Bryant University
BRY_STR1	BRY_STR1
BUC_BIS	Bucknell University
BUT_BUL	BUT_BUL
BUT_COL1	BUT_COL1
BYU_COU	Brigham Young University
CAL_AGO	CAL_AGO
CAL_ANT	CAL_ANT
CAL_BEA	CAL_BEA
CAL_FUL	California State University, Fullerton
CAL_HIG	CAL_HIG
CAL_LAN	CAL_LAN
CAL_MAT	CAL_MAT
CAL_MUS	CAL_MUS
CAL_STA	CAL_STA
CAL_STA2	CAL_STA2
CAM_CAM	CAM_CAM
CAM_UNI	CAM_UNI
CAN_GRI	CAN_GRI
CAR_ALB	CAR_ALB
CAR_EAG	CAR_EAG
CAS_WES	CAS_WES
CAT_IND	CAT_IND
CAT_UNI	CAT_UNI
CAT_VAL1	CAT_VAL1
CEN_BEA	CEN_BEA
CEN_COL	CEN_COL
CEN_COL1	CEN_COL1
CEN_MIC	CEN_MIC
CEN_MUL	CEN_MUL
CHA_BUC	CHA_BUC
CHA_COL	CHA_COL
CHA_FOR	CHA_FOR
CHA_UNI	CHA_UNI
CHA_UNI1	CHA_UNI1
CHI_MRN	CHI_MRN
CHO_UNI	CHO_UNI
CIN_BEA	University of Cincinnati
CIT_BUL	The Citadel
CLA_COU	CLA_COU
CLE_CLE2	CLE_CLE2
CLE_SCC	CLE_SCC
CLE_TIG	CLE_TIG
CLU_KIN	CLU_KIN
COA_CHA	COA_CHA
COA_COU	COA_COU
COK_COB	COK_COB
COL_CHA	COL_CHA
COL_COL10	COL_COL10
COL_COL14	COL_COL14
COL_INT	COL_INT
COL_LION	COL_LION
CON_CHI	CON_CHI
CON_TOR	CON_TOR
CON_UNI1	CON_UNI1
COP_COM	COP_COM
COP_STA	COP_STA
COR_BRE	COR_BRE
COW_COU	COW_COU
CRE_BLU	Creighton University
CSD_TRI	CSD_TRI
CSI_EAG	CSI_EAG
CSU_BAK	CSU_BAK
CUE_COL	CUE_COL
CUM_PAT	CUM_PAT
CYP_CHR	CYP_CHR
DAL_COM	DAL_COM
DAL_PAT	Dallas Baptist University
DAR_GRE	DAR_GRE
DAV_UNI	DAV_UNI
DAV_WIL	University of California, Davis
DAY_FLY	University of Dayton
DEL_BLU	University of Delaware
DEL_HOR	DEL_HOR
DEL_STA	DEL_STA
DIC_RED	DIC_RED
DIL_UNI	DIL_UNI
DIX_STE	DIX_STE
DUK_BLU	Duke University
DYE_EAG	DYE_EAG
EAS_CEN2	EAS_CEN2
EAS_TEX	EAS_TEX
EC	EC
ECU_PIR	East Carolina University
EIU_PAN	EIU_PAN
EKU_COL	Eastern Kentucky University
ELO_PHO	Elon University
EMO_HEN	EMO_HEN
EMU_EAG	Eastern Michigan University
ERS_COL	ERS_COL
